case,repeat,scenario,buyer_strategy,buyer_strategy_name,dealer_strategy,dealer_strategy_name,outcome,accepted_by,rounds,messages,asking_price,buyer_first_offer,buyer_reservation_price,dealer_reservation_price,final_price,saving_from_ask,saving_pct,folder,scenario_seed,case_seed,buyer_utility,dealer_utility,joint_utility,agreement_surplus,buyer_surplus,dealer_profit,buyer_distance_from_reservation,dealer_distance_from_reservation,buyer_concession_pct,dealer_concession_pct,benefit_side,final_reason
32,1,"BALANCED","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",3,8,80000,64000,78400,70400,72900,7100,8.88,"exp_032_BALANCED_FIXED_INCREMENT_5PCT_vs_TIME_DEPENDENT_CONCEDER",5217400151006772112,203000138422647491,0.38,0.26,0.64,8000,5500,2500,5500,2500,61.81,73.96,"BUYER","Round 3/10 | +5.0% increment | Offer RM70600 → RM74100 | RV ceiling: RM78400"
33,1,"BALANCED","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",7,15,80000,64000,78400,70400,78400,1600,2.00,"exp_033_BALANCED_FIXED_INCREMENT_5PCT_vs_TIME_DEPENDENT_BOULWARE",5217400151006772112,203001933566673889,0.00,0.83,0.83,8000,0,8000,0,8000,100.00,16.67,"DEALER","Round 7/10 | Curve=BOULWARE β=0.25 | Progress=70% → Offer RM77700"
34,1,"BALANCED","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",2,6,80000,64000,78400,70400,70400,9600,12.00,"exp_034_BALANCED_FIXED_INCREMENT_5PCT_vs_TIT_FOR_TAT",5217400151006772112,203000128699014700,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 2/10 | +5.0% increment | Offer RM67200 → RM70600 | RV ceiling: RM78400"
35,1,"BALANCED","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",2,6,80000,64000,78400,70400,70400,9600,12.00,"exp_035_BALANCED_FIXED_INCREMENT_5PCT_vs_FIXED_INCREMENT_2PCT",5217400151006772112,203001914358868174,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 2/10 | +5.0% increment | Offer RM67200 → RM70600 | RV ceiling: RM78400"
36,1,"BALANCED","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","BUYER",2,6,80000,64000,78400,70400,70400,9600,12.00,"exp_036_BALANCED_FIXED_INCREMENT_5PCT_vs_FIXED_INCREMENT_5PCT",5217400151006772112,203001914383272769,0.56,0.00,0.56,8000,8000,0,8000,0,44.44,100.00,"BUYER","Round 2/10 | +5.0% increment | Offer RM67200 → RM70600 | RV ceiling: RM78400"
37,1,"TIGHT_GAP","BAYESIAN","Bayesian Learner","BAYESIAN","Bayesian Learner","DEAL","DEALER",10,20,80000,62400,72800,71200,71800,8200,10.25,"exp_037_TIGHT_GAP_BAYESIAN_vs_BAYESIAN",5217400137194736569,206496011182230765,0.10,0.07,0.16,1600,1000,600,1000,600,90.38,93.18,"BALANCED","REJECT: Offer RM 71800 exceeds reservation price RM 71200"
38,1,"TIGHT_GAP","BAYESIAN","Bayesian Learner","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",5,11,80000,62400,72800,71200,72600,7400,9.25,"exp_038_TIGHT_GAP_BAYESIAN_vs_TIME_DEPENDENT_CONCEDER",5217400137194736569,206496026082347996,0.02,0.16,0.18,1600,200,1400,200,1400,98.08,84.09,"DEALER","Round 5/10 | β=0.70 | Style=BOULWARE | AvgConcession=RM625 (2.8%) | EstimatedFloor≈RM72225 | Offers seen=5 → ACCEPT RM72600"
39,1,"TIGHT_GAP","BAYESIAN","Bayesian Learner","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",10,20,80000,62400,72800,71200,72200,7800,9.75,"exp_039_TIGHT_GAP_BAYESIAN_vs_TIME_DEPENDENT_BOULWARE",5217400137194736569,206493218940383954,0.06,0.11,0.17,1600,600,1000,600,1000,94.23,88.64,"DEALER","Round 10/10 | BOULWARE | Offer RM72200 vs RV RM71200 | lastRound=true → COUNTER"
40,1,"TIGHT_GAP","BAYESIAN","Bayesian Learner","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",2,5,80000,62400,72800,71200,71200,8800,11.00,"exp_040_TIGHT_GAP_BAYESIAN_vs_TIT_FOR_TAT",5217400137194736569,206496018316696716,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 2/10 | β=1.00 | Style=UNKNOWN | AvgConcession=RM0 (0.0%) | EstimatedFloor≈RM71200 | Offers seen=2 → ACCEPT RM71200"
41,1,"TIGHT_GAP","BAYESIAN","Bayesian Learner","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",2,5,80000,62400,72800,71200,71200,8800,11.00,"exp_041_TIGHT_GAP_BAYESIAN_vs_FIXED_INCREMENT_2PCT",5217400137194736569,206493208851725890,0.15,0.00,0.15,1600,1600,0,1600,0,84.62,100.00,"BUYER","Round 2/10 | β=1.00 | Style=UNKNOWN | AvgConcession=RM0 (0.0%) | EstimatedFloor≈RM71200 | Offers seen=2 → ACCEPT RM71200"
