case,repeat,scenario,buyer_strategy,buyer_strategy_name,dealer_strategy,dealer_strategy_name,outcome,accepted_by,rounds,messages,asking_price,buyer_first_offer,buyer_reservation_price,dealer_reservation_price,final_price,saving_from_ask,saving_pct,folder
73,1,"WIDE_GAP","BAYESIAN","Bayesian Learner","BAYESIAN","Bayesian Learner","DEAL","BUYER",2,5,80000,60800,82400,67200,77400,2600,3.25,"exp_073_WIDE_GAP_BAYESIAN_vs_BAYESIAN"
74,1,"WIDE_GAP","BAYESIAN","Bayesian Learner","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",2,5,80000,60800,82400,67200,71400,8600,10.75,"exp_074_WIDE_GAP_BAYESIAN_vs_TIME_DEPENDENT_CONCEDER"
75,1,"WIDE_GAP","BAYESIAN","Bayesian Learner","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","BUYER",2,5,80000,60800,82400,67200,80000,0,0.00,"exp_075_WIDE_GAP_BAYESIAN_vs_TIME_DEPENDENT_BOULWARE"
76,1,"WIDE_GAP","BAYESIAN","Bayesian Learner","TIT_FOR_TAT","Tit-for-Tat","DEAL","BUYER",2,5,80000,60800,82400,67200,79200,800,1.00,"exp_076_WIDE_GAP_BAYESIAN_vs_TIT_FOR_TAT"
77,1,"WIDE_GAP","BAYESIAN","Bayesian Learner","FIXED_INCREMENT_2PCT","Fixed Increment (2% per round)","DEAL","BUYER",2,5,80000,60800,82400,67200,76800,3200,4.00,"exp_077_WIDE_GAP_BAYESIAN_vs_FIXED_INCREMENT_2PCT"
78,1,"WIDE_GAP","BAYESIAN","Bayesian Learner","FIXED_INCREMENT_5PCT","Fixed Increment (5% per round)","DEAL","DEALER",4,9,80000,60800,82400,67200,67300,12700,15.88,"exp_078_WIDE_GAP_BAYESIAN_vs_FIXED_INCREMENT_5PCT"
79,1,"WIDE_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","BAYESIAN","Bayesian Learner","DEAL","DEALER",2,4,80000,60800,82400,67200,72900,7100,8.88,"exp_079_WIDE_GAP_TIME_DEPENDENT_CONCEDER_vs_BAYESIAN"
80,1,"WIDE_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","DEAL","BUYER",1,4,80000,60800,82400,67200,72800,7200,9.00,"exp_080_WIDE_GAP_TIME_DEPENDENT_CONCEDER_vs_TIME_DEPENDENT_CONCEDER"
81,1,"WIDE_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIME_DEPENDENT_BOULWARE","Time-Dependent (BOULWARE)","DEAL","DEALER",6,13,80000,60800,82400,67200,79000,1000,1.25,"exp_081_WIDE_GAP_TIME_DEPENDENT_CONCEDER_vs_TIME_DEPENDENT_BOULWARE"
82,1,"WIDE_GAP","TIME_DEPENDENT_CONCEDER","Time-Dependent (CONCEDER)","TIT_FOR_TAT","Tit-for-Tat","DEAL","DEALER",5,11,80000,60800,82400,67200,78000,2000,2.50,"exp_082_WIDE_GAP_TIME_DEPENDENT_CONCEDER_vs_TIT_FOR_TAT"
